asset,file,pc1_evr_bar_norm,snapshots,bars
XRP,xrp_2026-05-26.npz,0.9108801767812045,86029,1440
XRP,xrp_2026-05-27.npz,0.9236330001484392,86025,1440
XRP,xrp_2026-05-28.npz,0.9022209328828515,86155,1440
XRP,xrp_2026-05-29.npz,0.9017506926393736,86056,1440
XRP,xrp_2026-05-30.npz,0.9141386400895073,85671,1440
XRP,xrp_2026-05-31.npz,0.9062537363404068,85453,1440
XRP,xrp_2026-06-01.npz,0.8851989689318649,86191,1440
XRP,xrp_2026-06-02.npz,0.8943913427003076,86307,1440
XRP,xrp_2026-06-03.npz,0.9335629036083726,86278,1440
XRP,xrp_2026-06-04.npz,0.9321912083969466,86367,1440
XRP,xrp_2026-06-05.npz,0.9300415024341648,86387,1440
XRP,xrp_2026-06-06.npz,0.929584255108712,86324,1440
XRP,xrp_2026-06-07.npz,0.9365084482135658,86276,1440
XRP,xrp_2026-06-08.npz,0.9276409821799106,86336,1440
XRP,xrp_2026-06-09.npz,0.9211665660050716,86326,1440
XRP,xrp_2026-06-10.npz,0.926886023333438,86357,1440
XRP,xrp_2026-06-11.npz,0.938802567880731,86206,1440
XRP,xrp_2026-06-12.npz,0.9364762444073952,86184,1440
XRP,xrp_2026-06-13.npz,0.9349632610825467,85861,1440
XRP,xrp_2026-06-14.npz,0.9297465266320021,85497,1440
XRP,xrp_2026-06-15.npz,0.9313932258559939,86251,1440
XRP,xrp_2026-06-16.npz,0.935828435956424,86324,1440
XRP,xrp_2026-06-17.npz,0.9307454354431148,86329,1440
XRP,xrp_2026-06-18.npz,0.9260645571331227,86249,1440
XRP,xrp_2026-06-19.npz,0.9379405030131828,86240,1440
XRP,xrp_2026-06-20.npz,0.9311385186211429,86043,1440
XRP,xrp_2026-06-21.npz,0.939036757907238,85868,1440
XRP,xrp_2026-06-22.npz,0.9361105576523927,86346,1440
XRP,xrp_2026-06-23.npz,0.9203013657906025,86279,1440
XRP,xrp_2026-06-24.npz,0.9199889262666957,86263,1440
XRP,xrp_2026-06-25.npz,0.9310300919563202,86245,1440
XRP,xrp_2026-06-26.npz,0.9285425388924761,86330,1440

